district,mandal,month,year,NDVI_mean,rainfall_mm_per_day,temperature_C,batch_id
Hanumakonda,Hanumakonda,12.0,2024,0.2038,0.2467,0.00,batch_0
Hanumakonda,Hasanparthy,12.0,2024,0.2083,0.2658,0.00,batch_0
Hanumakonda,Inavolu,12.0,2024,0.2598,0.2251,0.00,batch_0
Hanumakonda,Kamalapur,12.0,2024,0.1943,0.3060,0.00,batch_0
Hanumakonda,Khaazipet,12.0,2024,0.2277,0.2493,0.00,batch_0
Hanumakonda,Parkal,12.0,2024,0.2829,0.2947,0.00,batch_0
Hanumakonda,Shayampet,12.0,2024,0.2486,0.2539,0.00,batch_0
Hanumakonda,Velair,12.0,2024,0.2647,0.2151,0.00,batch_0
Hanumakonda,Nadikuda,12.0,2024,0.2764,0.3197,0.00,batch_0
Hyderabad,Amberpet,10.0,2024,0.1627,1.9457,0.00,batch_0
Hyderabad,Ammerpet,10.0,2024,0.0755,2.0079,0.00,batch_0
Hyderabad,Asifnagar,10.0,2024,0.1318,1.8941,0.00,batch_0
Hyderabad,Bahadurpura,10.0,2024,0.1443,1.8560,0.00,batch_0
Hyderabad,Bandlaguda,10.0,2024,0.0746,1.8300,0.00,batch_0
Hyderabad,Charminar,10.0,2024,0.0651,1.8702,0.00,batch_0
Hyderabad,Golkonda,10.0,2024,0.2610,1.8973,0.00,batch_0
Hyderabad,Himayatnagar,10.0,2024,0.1281,1.9289,0.00,batch_0
Hyderabad,Khairatabad,10.0,2024,0.0816,1.9775,0.00,batch_0
Hyderabad,Maredpally,10.0,2024,0.1445,1.9226,0.00,batch_0
Hyderabad,Musheerabad,10.0,2024,0.1166,1.9166,0.00,batch_0
Hyderabad,Nampally,10.0,2024,0.1438,1.8771,0.00,batch_0
Hyderabad,Saidabad,10.0,2024,0.1412,1.9609,0.00,batch_0
Hyderabad,Secunderabad,10.0,2024,0.1267,1.9543,0.00,batch_0
Hyderabad,Shaikpet,10.0,2024,0.1596,1.9739,0.00,batch_0
Hyderabad,Tirumalgiri,10.0,2024,0.2486,1.9537,0.00,batch_0
Hyderabad,Amberpet,12.0,2024,0.1409,0.0364,0.00,batch_0
Hyderabad,Ammerpet,12.0,2024,0.1390,0.1105,0.00,batch_0
Hyderabad,Asifnagar,12.0,2024,0.1230,0.1766,0.00,batch_0
Hyderabad,Bahadurpura,12.0,2024,0.1364,0.1930,0.00,batch_0
Hyderabad,Bandlaguda,12.0,2024,0.1518,0.1870,0.00,batch_0
Hyderabad,Charminar,12.0,2024,0.0773,0.1826,0.00,batch_0
Hyderabad,Golkonda,12.0,2024,0.2079,0.2028,0.00,batch_0
Hyderabad,Himayatnagar,12.0,2024,0.1278,0.0576,0.00,batch_0
Hyderabad,Khairatabad,12.0,2024,0.1298,0.0780,0.00,batch_0
Hyderabad,Maredpally,12.0,2024,0.1638,0.0074,0.00,batch_0
Hyderabad,Musheerabad,12.0,2024,0.1424,0.0000,0.00,batch_0
Hyderabad,Nampally,12.0,2024,0.1320,0.1756,0.00,batch_0
Hyderabad,Saidabad,12.0,2024,0.1362,0.0208,0.00,batch_0
Hyderabad,Secunderabad,12.0,2024,0.1299,0.0000,0.00,batch_0
Hyderabad,Shaikpet,12.0,2024,0.1658,0.1768,0.00,batch_0
Hyderabad,Tirumalgiri,12.0,2024,0.2044,0.1073,0.00,batch_0
Jagtial,Beerpur,10.0,2024,0.4115,0.7895,0.00,batch_0
Jagtial,Buggaram,10.0,2024,0.1288,0.8811,0.00,batch_0
Jagtial,Dharmapuri,10.0,2024,0.4241,0.8001,0.00,batch_0
Jagtial,Gollapalli,10.0,2024,0.1242,0.9076,0.00,batch_0
Jagtial,Kodimial,10.0,2024,0.0000,1.1816,0.00,batch_0
Jagtial,Ibrahimpatnam,10.0,2024,0.2593,0.8702,0.00,batch_0
Jagtial,Jagityal_Rural,10.0,2024,0.0145,0.8851,0.00,batch_0
Jagtial,Jagtial,10.0,2024,0.0000,0.9235,0.00,batch_0
Jagtial,Kathlapur,10.0,2024,0.0000,1.0186,0.00,batch_0
Jagtial,Korutla,10.0,2024,0.0765,0.9275,0.00,batch_0
Jagtial,Mallapur,10.0,2024,0.2703,0.8714,0.00,batch_0
Jagtial,Mallial,10.0,2024,0.0000,1.0808,0.00,batch_0
Jagtial,Bheemaram,10.0,2024,0.0000,1.0809,0.00,batch_0
Jagtial,Metpalli,10.0,2024,0.0213,0.8654,0.00,batch_0
Jagtial,Pegadapalli,10.0,2024,0.0522,1.0208,0.00,batch_0
Jagtial,Raikal,10.0,2024,0.3324,0.8024,0.00,batch_0
Jagtial,Sarangapur,10.0,2024,0.3255,0.8222,0.00,batch_0
Jagtial,Velgatur,10.0,2024,0.3729,1.0966,0.00,batch_0
Jagtial,Endapalli,10.0,2024,0.4458,1.1123,0.00,batch_0
Jagtial,Medipalle,10.0,2024,0.0257,0.9524,0.00,batch_0
Jagtial,Beerpur,12.0,2024,0.2332,0.1281,0.00,batch_0
Jagtial,Buggaram,12.0,2024,0.2302,0.1529,0.00,batch_0
Jagtial,Dharmapuri,12.0,2024,0.2208,0.1436,0.00,batch_0
Jagtial,Gollapalli,12.0,2024,0.2365,0.1790,0.00,batch_0
Jagtial,Kodimial,12.0,2024,0.2616,0.1039,0.00,batch_0
Jagtial,Ibrahimpatnam,12.0,2024,0.2864,0.1866,0.00,batch_0
Jagtial,Jagityal_Rural,12.0,2024,0.2514,0.1730,0.00,batch_0
Jagtial,Jagtial,12.0,2024,0.2027,0.1687,0.00,batch_0
Jagtial,Kathlapur,12.0,2024,0.2539,0.1355,0.00,batch_0
Jagtial,Korutla,12.0,2024,0.2258,0.2012,0.00,batch_0
Jagtial,Mallapur,12.0,2024,0.2523,0.1925,0.00,batch_0
Jagtial,Mallial,12.0,2024,0.2769,0.1320,0.00,batch_0
Jagtial,Bheemaram,12.0,2024,0.2660,0.0859,0.00,batch_0
Jagtial,Metpalli,12.0,2024,0.2399,0.1679,0.00,batch_0
