district,mandal,month,year,NDVI_mean,rainfall_mm_per_day,temperature_C,batch_id
Siddipet,Akkannapet,12.0,2024,0.2431,0.2630,0.00,batch_24
Siddipet,Bejjanki,12.0,2024,0.2340,0.2073,0.00,batch_24
Siddipet,Cherial,12.0,2024,0.2211,0.2788,0.00,batch_24
Siddipet,Chinnakodur,12.0,2024,0.2168,0.2422,0.00,batch_24
Siddipet,Dubbak,12.0,2024,0.2087,0.1919,0.00,batch_24
Siddipet,Gajwel,12.0,2024,0.2348,0.2402,0.00,batch_24
Siddipet,Koheda,12.0,2024,0.2412,0.2740,0.00,batch_24
Siddipet,Komuravelli,12.0,2024,0.2049,0.2773,0.00,batch_24
Siddipet,Husnabad,12.0,2024,0.2410,0.2431,0.00,batch_24
Siddipet,Jagdevpur,12.0,2024,0.2633,0.2689,0.00,batch_24
Siddipet,Kondapak,12.0,2024,0.2343,0.2734,0.00,batch_24
Siddipet,Maddur,12.0,2024,0.2309,0.2707,0.00,batch_24
Siddipet,Markook,12.0,2024,0.2392,0.2457,0.00,batch_24
Siddipet,Mirdoddi,12.0,2024,0.2465,0.1965,0.00,batch_24
Siddipet,Mulug,12.0,2024,0.2280,0.2073,0.00,batch_24
Siddipet,Nangnoor,12.0,2024,0.2407,0.2888,0.00,batch_24
Siddipet,Raipole,12.0,2024,0.2336,0.1887,0.00,batch_24
Siddipet,Siddipet_Rural,12.0,2024,0.2324,0.2281,0.00,batch_24
Siddipet,Siddipet_Urban,12.0,2024,0.2226,0.2610,0.00,batch_24
Siddipet,Thoguta,12.0,2024,0.2050,0.2441,0.00,batch_24
Siddipet,Wargal,12.0,2024,0.2564,0.1881,0.00,batch_24
Siddipet,Doultabad,12.0,2024,0.2454,0.1737,0.00,batch_24
Siddipet,Narayanraopet,12.0,2024,0.2079,0.1972,0.00,batch_24
Siddipet,Dhoolumitta,12.0,2024,0.2450,0.2979,0.00,batch_24
Siddipet,Akbarpet-bhoompally,12.0,2024,0.1941,0.1799,0.00,batch_24
Siddipet,Kukunoorpally,12.0,2024,0.2162,0.2767,0.00,batch_24
Suryapet,Ananthagiri,10.0,2024,0.4654,2.7624,0.00,batch_24
Suryapet,Atmakur_S,10.0,2024,0.4329,2.2215,0.00,batch_24
Suryapet,Chilkur,10.0,2024,0.4981,2.9618,0.00,batch_24
Suryapet,Chinthala palem,10.0,2024,0.2529,3.6429,0.00,batch_24
Suryapet,Chivvemla,10.0,2024,0.4392,2.2912,0.00,batch_24
Suryapet,Garidepalli,10.0,2024,0.5108,3.0224,0.00,batch_24
Suryapet,Kodad,10.0,2024,0.4527,3.0673,0.00,batch_24
Suryapet,Huzur nagar,10.0,2024,0.4955,3.2422,0.00,batch_24
Suryapet,Jajireddigudem,10.0,2024,0.4131,2.1801,0.00,batch_24
Suryapet,Maddirala,10.0,2024,0.4145,2.2989,0.00,batch_24
Suryapet,Mattampalli,10.0,2024,0.3807,3.6505,0.00,batch_24
Suryapet,Mellachervu,10.0,2024,0.4231,3.2785,0.00,batch_24
Suryapet,Mothey,10.0,2024,0.4124,2.2925,0.00,batch_24
Suryapet,Munagala,10.0,2024,0.4699,2.3918,0.00,batch_24
Suryapet,Nadigudem,10.0,2024,0.4850,2.4910,0.00,batch_24
Suryapet,Nagaram,10.0,2024,0.4157,2.1054,0.00,batch_24
Suryapet,Nereducherla,10.0,2024,0.5050,3.2960,0.00,batch_24
Suryapet,Noothankal,10.0,2024,0.4480,2.3087,0.00,batch_24
Suryapet,Palakeedu,10.0,2024,0.4468,3.8500,0.00,batch_24
Suryapet,Penpahad,10.0,2024,0.4760,2.4933,0.00,batch_24
Suryapet,Suryapet,10.0,2024,0.3996,2.3796,0.00,batch_24
Suryapet,Thungathurthy,10.0,2024,0.4278,2.2822,0.00,batch_24
Suryapet,Tirumalagiri,10.0,2024,0.3998,2.0362,0.00,batch_24
Suryapet,Ananthagiri,12.0,2024,0.1666,0.2129,0.00,batch_24
Suryapet,Atmakur_S,12.0,2024,0.2109,0.0840,0.00,batch_24
Suryapet,Chilkur,12.0,2024,0.1505,0.2429,0.00,batch_24
Suryapet,Chinthala palem,12.0,2024,0.2311,0.0703,0.00,batch_24
Suryapet,Chivvemla,12.0,2024,0.1958,0.1921,0.00,batch_24
Suryapet,Garidepalli,12.0,2024,0.1584,0.2849,0.00,batch_24
Suryapet,Kodad,12.0,2024,0.1845,0.2029,0.00,batch_24
Suryapet,Huzur nagar,12.0,2024,0.1494,0.2309,0.00,batch_24
Suryapet,Jajireddigudem,12.0,2024,0.1730,0.0000,0.00,batch_24
Suryapet,Maddirala,12.0,2024,0.2293,0.0463,0.00,batch_24
Suryapet,Mattampalli,12.0,2024,0.1866,0.1048,0.00,batch_24
Suryapet,Mellachervu,12.0,2024,0.2335,0.1281,0.00,batch_24
Suryapet,Mothey,12.0,2024,0.2334,0.2367,0.00,batch_24
Suryapet,Munagala,12.0,2024,0.1926,0.2317,0.00,batch_24
Suryapet,Nadigudem,12.0,2024,0.1863,0.2690,0.00,batch_24
Suryapet,Nagaram,12.0,2024,0.1932,0.0000,0.00,batch_24
Suryapet,Nereducherla,12.0,2024,0.1589,0.3145,0.00,batch_24
Suryapet,Noothankal,12.0,2024,0.2453,0.0533,0.00,batch_24
Suryapet,Palakeedu,12.0,2024,0.1585,0.2341,0.00,batch_24
Suryapet,Penpahad,12.0,2024,0.1781,0.2485,0.00,batch_24
Suryapet,Suryapet,12.0,2024,0.1315,0.0771,0.00,batch_24
Suryapet,Thungathurthy,12.0,2024,0.2056,0.0018,0.00,batch_24
Suryapet,Tirumalagiri,12.0,2024,0.2135,0.0000,0.00,batch_24
Vikarabad,Bantwaram,10.0,2024,0.4446,2.2749,0.00,batch_24
Vikarabad,Basheerabad,10.0,2024,0.4140,1.9872,0.00,batch_24
Vikarabad,Bommaraspeta,10.0,2024,0.3787,1.8851,0.00,batch_24
Vikarabad,Dharoor,10.0,2024,0.4228,2.1893,0.00,batch_24
Vikarabad,Doma,10.0,2024,0.4148,1.7148,0.00,batch_24
Vikarabad,Doulthabad,10.0,2024,0.4174,2.0269,0.00,batch_24
Vikarabad,Kodangal,10.0,2024,0.4430,1.8407,0.00,batch_24
Vikarabad,Kotepally,10.0,2024,0.4420,2.3366,0.00,batch_24
Vikarabad,Kulkacharla,10.0,2024,0.4213,1.6756,0.00,batch_24
Vikarabad,Marpalle,10.0,2024,0.4299,2.2090,0.00,batch_24
Vikarabad,Mominpet,10.0,2024,0.4120,2.1573,0.00,batch_24
Vikarabad,Nawabpet,10.0,2024,0.4304,2.1374,0.00,batch_24
Vikarabad,Pargi,10.0,2024,0.4304,1.7976,0.00,batch_24
Vikarabad,Peddemul,10.0,2024,0.4186,2.2180,0.00,batch_24
Vikarabad,Pudur,10.0,2024,0.4515,1.8742,0.00,batch_24
Vikarabad,Tandur,10.0,2024,0.3871,2.0621,0.00,batch_24
Vikarabad,Vikarabad,10.0,2024,0.4270,2.1059,0.00,batch_24
Vikarabad,Yelal,10.0,2024,0.4205,1.9976,0.00,batch_24
Vikarabad,Chowdapur,10.0,2024,0.4093,1.7688,0.00,batch_24
Vikarabad,Dudyal,10.0,2024,0.4117,1.7197,0.00,batch_24
Vikarabad,Bantwaram,12.0,2024,0.3092,0.1228,0.00,batch_24
Vikarabad,Basheerabad,12.0,2024,0.3132,0.1358,0.00,batch_24
Vikarabad,Bommaraspeta,12.0,2024,0.2790,0.0096,0.00,batch_24
